Théâtres,1864-01-01,1864-01-02,,,,,,1 - 2 jan.
Opéra,9662.03,,,,,,,9662.03
Théâtre Français,1785.1,5116.1,,,,,,6901.2
Opéra-Comique,6188.5,7988.5,,,,,,14177
Théâtre des Italiens,,,,,,,,
Odéon,1306,1763.25,,,,,,3069.25
Théâtre-Lyrique,6067,6604.5,,,,,,12671.5
Vaudeville,2198.5,,,,,,,2198.5
Théâtre des Variétés,3718.5,4091.5,,,,,,7810
Gymnase,3501.5,4061.5,,,,,,7563
Palais-Royal,3407,4600.75,,,,,,8007.75
Porte Saint-Martin,4888,6181.25,,,,,,11069.25
Gaîté,4339.75,5800.75,,,,,,10140.5
Ambigu-Comique,3249,4015,,,,,,7264
Théâtre Impérial du Cirque,6774,9000,,,,,,15774
Folies-Dramatiques,2490.2,3051.1,,,,,,5541.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes Parisiens,,,,,,,,
Total,59575.08,62274.2,,,,,,121849.28
