Théâtres,1864-03-27,1864-03-28,1864-03-29,1864-03-30,1864-03-31,1864-04-01,1864-04-02,27 - 31 mar.,1 - 2 avr.
Opéra,,10509.5,,9916.23,,7087.1,,20425.73,7087.1
Théâtre Français,3810.6,4658.6,4082.3,3656.8,4223.5,3725.4,4196.2,20431.8,7921.6
Opéra-Comique,6660,6536.75,3283,5867.5,5360,6377.5,5694,27707.25,12071.5
Théâtre des Italiens,,,,,,,,,
Odéon,4974.25,5315.5,5202,5184.25,5172.75,747.25,5143.25,25848.75,5890.5
Théâtre-Lyrique,3615,6527.5,2524,5569,2939.5,6204,6006.5,21175,12210.5
Vaudeville,1862,1451.5,1020,898,1017,1392,1459,6248.5,2851
Théâtre des Variétés,3276,3402,2356.5,2541,2376.5,2644,2507,13952,5151
Gymnase,2510.75,2968.75,1722.5,1421,1872.75,2321,2276.25,10495.75,4597.25
Palais-Royal,3718.25,3708.25,3670.75,3655.25,3647.75,3617.25,3779.75,18400.25,7397
Porte Saint-Martin,5151.5,5406.25,3634.5,3192.15,3484.5,3665.25,3062.5,20868.9,6727.75
Gaîté,4130,4927.25,3454,2974.75,3242.5,3935.25,3411.25,18728.5,7346.5
Ambigu-Comique,2003.95,792.8,2164.7,823.75,940.35,995.2,663.45,6725.55,1658.65
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,2051.95,792.8,2164.7,823.75,940.35,995.2,663.25,6773.55,1658.45
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
,,,,,,,,,
Lazary,,,,,,,,,
Funambules,,,,,,,,,
Bouffes  Parisiens,,,,,,,,,
Total,43764.25,56997.45,35278.95,46523.43,35217.45,43706.4,38862.4,217781.53,82568.8
