Théâtres,1864-04-24,1864-04-25,1864-04-26,1864-04-27,1864-04-28,1864-04-29,1864-04-30,24 -30 avr.
Opéra,,8314.83,,7933.22,,9252.25,12151.3,37651.6
Théâtre Français,1436.8,2272,2776.7,2851.4,2630.2,1391.1,2421.4,15779.6
Opéra-Comique,2758.5,2522.25,3822.5,2528.5,2003,2696.5,4048,20379.25
Théâtre des Italiens,,,,,,,,
Odéon,3516.5,3853.75,3916.5,4184.75,4066.25,366.25,4476,24380
Théâtre-Lyrique,1816,,3005.5,421,2805.5,2654,2503.5,13205.5
Vaudeville,444.5,1335,1112,1917,1418,2353,1567,10146.5
Théâtre des Variétés,1626,1301,1457.5,1561,1666.5,2368.5,1809.5,11790
Gymnase,970.5,1693.5,1840,2235.75,2184.25,2773.25,2621.5,14318.75
Palais-Royal,2700.5,2739.25,2422.5,782.45,1115.5,1414.5,957.65,12132.35
Porte Saint-Martin,3133,2282.75,1557.25,1767.5,1658.25,1946,2063.5,14408.25
Gaîté,1810,1145.25,1072.25,1264,1752.25,1466.75,1119.35,9629.85
Ambigu-Comique,1703,1106.75,1204.75,1008.25,1200,1413.5,1003,8639.25
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,868.7,286.15,244.85,324.9,520.85,443.65,1187.7,3876.8
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,22784,28852.48,24432.3,28779.72,23020.55,30539.25,37929.4,196337.7
