Théâtres,1864-05-15,1864-05-16,1864-05-17,1864-05-18,1864-05-19,1864-05-20,1864-05-21,15 - 21  mai
Opéra,,10065.88,,6837.28,,7047.05,,23950.21
Théâtre Français,2128.8,2130.4,4303.5,806.4,3120.9,908,4173.7,17571.7
Opéra-Comique,4397.5,3132,2970,2298,1369.5,1994.5,1454,17615.5
Théâtre des Italiens,,,,,,,,
Odéon,1931.75,3464,2791.5,1739.75,1512.25,1348.5,2080,14867.75
Théâtre-Lyrique,1031,2892,1053.5,1409,2557,632.5,2785.5,12360.5
Vaudeville,719.5,742,549.5,398,166.5,405,869,3849.5
Théâtre des Variétés,1308.5,1122.5,573.5,521,249.5,387,1022.5,5184.5
Gymnase,1137.25,1055.25,701.75,404.5,340,604.5,1246.5,5489.75
Palais-Royal,1852,2438.25,1622,1031.8,713.6,1004.85,2029.45,10691.95
Porte Saint-Martin,2480.75,2694.5,1580.5,1052,681.55,,,8489.3
Gaîté,1688.75,1742.75,,1313,551.75,939,1632.5,7867.75
Ambigu-Comique,914.75,835.75,,,864.75,701.5,1003.25,4320
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,583.55,550.65,245.9,102.75,72.2,,550.55,2105.6
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,20174.1,32865.93,16391.65,17913.48,12199.5,15972.4,18846.95,134364.01
