Théâtres,1864-05-29,1864-05-30,1864-05-31,1864-06-01,1864-06-02,1864-06-03,1864-06-04,29 - 31  mai,1 - 4 juin
Opéra,4596.39,6369.09,,8486.01,,7983.08,,10965.48,16469.09
Théâtre Français,1677.6,1592.2,4202.1,2271,4413.5,1754.3,3688.4,7471.9,12127.2
Opéra-Comique,1615,4351,3490,5000,3469,4463.5,2230.25,9456,15162.75
Théâtre des Italiens,,,,,,,,0,0
Odéon,2931.5,3874.25,3839.5,,,,,10645.25,0
Théâtre-Lyrique,1373,,1427,808,2809,1279,3508.5,2800,8404.5
Vaudeville,664.5,926,738,1067,920,830,552,2328.5,3369
Théâtre des Variétés,1253.5,1119.5,1160,1440.5,1671,1415.5,842,3533,5369
Gymnase,1170.5,863,1187.5,1350.25,1007.5,900.75,704.25,3221,3962.75
Palais-Royal,1544.2,1710,1914,2110.75,2014,1807,1150.25,5168.2,7082
Porte Saint-Martin,3153.25,2549.75,2607.5,2926,3001,2915.5,1617.5,8310.5,10460
Gaîté,"2,918,75",1764,1648.75,1915,2151,1945.5,1431,3412.75,7442.5
Ambigu-Comique,1613.75,924.75,1000.75,1104.5,1002.5,1105.5,706,3539.25,3918.5
Théâtre Impérial du Cirque,,,,,,,,0,0
Folies-Dramatiques,1612.55,,1080.95,877.35,1291.65,1270.55,765.05,2693.5,4204.6
Délassement Comiques,,,,,,,,0,0
Luxembourg,,,,,,,,0,0
Beaumarchais,,,,,,,,0,0
,,,,,,,,,
Lazary,,,,,,,,,
Funambules,,,,,,,,,
Bouffes  Parisiens,,,,,,,,,
Total,23205.74,26043.54,24296.05,29356.36,23750.15,27670.18,17195.2,73545.33,97971.89
