Théâtres,1864-06-26,1864-06-27,1864-06-28,1864-06-29,1864-06-30,1864-07-01,1864-07-02,26 -30 juin,1- 2 juil.
Opéra,,7423.8,,8503.9,,5562.6,,15927.7,5562.6
Théâtre Français,1244.6,1369.5,2758.4,1911.6,2773,2420.4,2063.4,10057.1,4483.8
Opéra-Comique,4950.5,2556.75,3348.5,3913.75,3938,,,18707.5,
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,3171.5,5236.5,2291,4030,2719,,,17448,
Vaudeville,962,237,557.5,884,542,1127.5,318,3182.5,1445.5
Théâtre des Variétés,2725,1234,963,1065,1200,1583,867.5,7187,2450.5
Gymnase,1761,745,779.5,844.25,706.75,,535.5,4836.5,535.5
Palais-Royal,2310,1611.75,4432,,,,1823.2,8353.75,1823.2
Porte Saint-Martin,2406,1226,,,,2591.25,1109.25,3632,3700.5
Gaîté,3027.5,1133.5,1142.75,1724,1741.25,1655.5,,8769,1655.5
Ambigu-Comique,3261.75,1816,2038.25,2406,2038.5,2028.5,1506.25,11560.5,3534.75
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,951.45,1221.45,1176.8,1226.55,,3349.7,1226.55
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
,,,,,,,,,
Lazary,,,,,,,,,
Funambules,,,,,,,,,
Bouffes  Parisiens,,,,,,,,,
Total,25819.85,24589.8,19262.35,26503.95,16835.3,18195.3,8223.1,113011.25,26418.4
