Théâtres,1864-07-24,1864-07-25,1864-07-26,1864-07-27,1864-07-28,1864-07-29,1864-07-30,24 . 30 juil.
Opéra,,7354.2,,7013.5,,6328.36,,20696.06
Théâtre Français,1888.3,1500.5,1742.5,1245.2,1063.2,981.2,1003.3,9424.2
Opéra-Comique,,,,,,,,
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,675.5,544,701.5,434,452.5,405.5,310,3523
Théâtre des Variétés,684,851,808,533.5,308,492,414,4090.5
Gymnase,668.5,1659.75,2385,2515.75,2127.25,2458.75,2276.25,14091.25
Palais-Royal,753.5,1417,845.5,562.5,537.6,628.4,1131.2,5875.7
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,1400.501,1108.75,838.25,603,544.75,621.25,306,5422.501
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,916.9,516.4,396.15,246.85,264.3,332.55,247.7,2920.85
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,6987.201,14951.6,7716.9,13154.3,5297.6,12248.01,5688.45,66044.061
