Théâtres,1864-07-31,1864-08-01,1864-08-02,1864-08-03,1864-08-04,1864-08-05,1864-08-06,31 juil.,1 - 6 août
Opéra,,6130.01,,7382.68,,7585.82,,,21098.51
Théâtre Français,1380.4,1364.8,1074.7,1144.3,1354.3,892.1,1442,1380.4,7272.2
Opéra-Comique,,,,,,,,,
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,,424.5,579.5,533,411,553,335,,2836
Théâtre des Variétés,414,776.5,646.5,614.11,486.5,318,,414,2841.61
Gymnase,1254.5,1904.75,2321.5,2231.25,2026,1519,1916.75,1254.5,11919.25
Palais-Royal,616,1111.45,1106,611,515.7,920.15,,616,4264.3
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,611.25,414.25,603.75,514.75,471.5,,268.5,611.25,2272.75
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,408.85,293.3,477.35,342.8,305.05,229.75,159.4,408.85,1807.65
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
,,,,,,,,,
Lazary,,,,,,,,,
Funambules,,,,,,,,,
Bouffes  Parisiens,,,,,,,,,
Total,4685,12419.56,6809.3,13373.89,5570.05,12017.82,4121.65,4685,54312.27
