Théâtres,1864-09-25,1864-09-26,1864-09-27,1864-09-28,1864-09-29,1864-09-30,1864-10-01,25 - 30 sept.,1 oct.
Opéra,,9681.91,,7680.42,,9099.13,,26461.46,
Théâtre Français,2407,1416.6,2442.8,2566.5,2318.8,1272,2132,12423.7,2132
Opéra-Comique,5877.75,2521,2776,3105.5,2630,3427.5,2836,20337.75,2836
Théâtre des Italiens,,,,,,,,,
Odéon,1792,821.5,734.5,719,554.25,289.25,592.25,4910.5,592.25
Théâtre-Lyrique,2831,2185,5446,2782,5009,2976,4357,21229,4357
Vaudeville,1306.5,571.5,,339,1497.5,2027,1686,5741.5,1686
Théâtre des Variétés,3323.5,2631.5,2732.5,2681.5,2603.5,2753,2560.5,16725.5,2560.5
Gymnase,1698.21,1592.5,1145,990,1209.75,1308.25,10171.5,7943.71,10171.5
Palais-Royal,2408,1402,1510.75,1333.75,1115.9,1503.2,1411.7,9273.6,1411.7
Porte Saint-Martin,,2081.25,1800.25,2161.75,1718,2071.5,1911.75,9832.75,1911.75
Gaîté,,,,,,,,,
Ambigu-Comique,3116.5,1602.5,1612.75,1311.5,1401.5,1607.25,1609.25,10652,1609.25
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,2060.35,1153.7,1233,,929.3,1168.4,996.2,6544.75,996.2
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
,,,,,,,,,
Lazary,,,,,,,,,
Funambules,,,,,,,,,
Bouffes  Parisiens,,,,,,,,,
Total,26820.81,27660.96,21433.55,25670.92,20987.5,29502.48,30264.15,152076.22,30264.15
