Théâtres,1864-01-24,1864-01-25,1864-01-26,1864-01-27,1864-01-28,1864-01-29,1864-01-30,24 - 30 jan.
Opéra,,8525.09,,7506.39,,10838.35,,26869.83
Théâtre Français,3604.6,2962.3,1130.6,9416,2443.1,3193.1,4497.1,27246.8
Opéra-Comique,5581.5,5165,2369,4674.5,2373.5,5737.5,5134,31035
Théâtre des Italiens,,,,,,,,
Odéon,2557.5,887.25,388.25,944,809,418.5,1831.5,7836
Théâtre-Lyrique,3767.5,4929.5,928,4580.5,5661,5475,5702,31043.5
Vaudeville,2070.5,641,981,669,,,1017,5378.5
Théâtre des Variétés,3046,1519.5,1656.5,1819,1760.5,1975,2044,13820.5
Gymnase,3616,2116.75,2200.5,1965.5,2272.5,2255.75,2700.25,17127.25
Palais-Royal,3004,2037.5,2040.25,1810,1722,2119,2712,15444.75
Porte Saint-Martin,4442.25,2182.5,2124.25,1924,1797.25,2251.75,2541.5,17263.5
Gaîté,3914.5,2374.75,2413.75,2701.5,2629.75,,3459.75,17494
Ambigu-Comique,,,1703.75,1808.5,2025.5,2006.25,2217.25,9761.25
Théâtre Impérial du Cirque,9080.25,6408.25,5187.25,5044.75,6325.25,5106,8194.5,45346.25
Folies-Dramatiques,2172.6,1833.1,1473.35,1396.65,1485.95,1621.9,1656.2,11639.75
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,46857.2,41582.49,24596.45,46260.29,31305.3,42998.1,43707.05,277306.88
