Théâtres,1865-12-24,1865-12-25,1865-12-26,1865-12-27,1865-12-28,1865-12-29,1865-12-30,24 - 30 déc.
Opéra,3743.95,10058.77,,7867.17,11041,5614.09,,38324.98
Théâtre Français,2013,1890.5,1611,,629.5,1377,3155.5,10676.5
Opéra-Comique,5422,6382,2302,4937.5,2507,5530,4432.5,31513
Théâtre des Italiens,,2121,5710,,3848,,5544,17223
Odéon,968.75,725.25,282.25,147.75,159.25,,,2283.25
Théâtre-Lyrique,1969.1,5332.1,613.1,4545.6,,5016.1,608.1,18084.1
Vaudeville,,,,,,,,
Théâtre des Variétés,2421,3928.5,2153,,2405,2333.5,2640.5,15881.5
Gymnase,2170.5,1445.25,467,,753.5,795.25,988.5,6620
Palais-Royal,3717.75,2711,1849.25,,2117.75,1725.5,2114.5,14235.75
Porte Saint-Martin,4519,3791.5,2460,2222.25,2177,2026,2610,19805.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,26945.05,38385.87,17447.6,19720.27,25638,24417.44,22093.6,174647.83
