Théâtres,1865-12-31,,,,,,,31 déc. 1865
Opéra,5967.04,,,,,,,5967.04
Théâtre Français,2563,,,,,,,2563
Opéra-Comique,5885,,,,,,,5885
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,1322.1,,,,,,,1322.1
Vaudeville,,,,,,,,
Théâtre des Variétés,3319.5,,,,,,,3319.5
Gymnase,1987.5,,,,,,,1987.5
Palais-Royal,2536.25,,,,,,,2536.25
Porte Saint-Martin,4528.5,,,,,,,4528.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,28108.89,0,0,0,0,0,0,28108.89
