Théâtres,1864-01-31,1864-02-01,1864-02-02,1864-02-03,1864-02-04,1864-02-05,1864-02-06,31 jan.,1 - 6 fév.
Opéra,5814.71,9138.09,,8643.39,,10001.35,,5814.71,27782.83
Théâtre Français,3348.6,2521.2,2195.6,2916,1970.8,2113.7,2833.6,3348.6,14550.9
Opéra-Comique,5786,963,5246,1830.25,5481.5,2212.5,6139.5,5786,21872.75
Théâtre des Italiens,,,,,,,,,
Odéon,1923.25,761.75,977.25,965,802.5,404.5,1496.5,1923.25,5407.5
Théâtre-Lyrique,5865.5,4807.5,5506,4730,5876.5,4964,5019.5,5865.5,30903.5
Vaudeville,1961,2063.5,2033.5,1350,1659.5,1460,1591.5,1961,10158
Théâtre des Variétés,2174.5,1457,1605.5,1266.5,1563,1382.5,1904,2174.5,9178.5
Gymnase,3319,1721.5,2058,2107.25,2466.5,1935,2502.25,3319,12790.5
Palais-Royal,3003.25,2010,1906.5,2009.5,2506.45,2152,4451.25,3003.25,15035.7
Porte Saint-Martin,3674,2498,2194.5,2129.25,1895,1686,1862,3674,12264.75
Gaîté,3855,,,,3302.75,3728.5,4344.75,3855,11376
Ambigu-Comique,3002.25,2104.5,1803.75,1919.75,1619,1366.75,1486.5,3002.25,10300.25
Théâtre Impérial du Cirque,8450,5606,5041,,,,,8450,10647
Folies-Dramatiques,,1906.05,1480.75,1381.1,1212.5,992.5,1018.65,,7991.55
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
,,,,,,,,,
Lazary,,,,,,,,,
Funambules,,,,,,,,,
Bouffes  Parisiens,,,,,,,,,
Total,52177.06,37558.09,32048.35,31247.99,30356,34399.3,34650,52177.06,200259.73
