An 1865- Novembre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,14344.06,27836.57,32212.49,34689.51,23723.47,,132806.1
Théâtre Français,8699.5,17202,18687.5,18687.5,14679.5,,77956
Opéra-Comique,11290.75,16898.25,19197,20117.25,18503,,86006.25
Théâtre des Italiens,9833,16683,17089,16649,11735,,71989
Odéon,1696.5,5307.75,5868.5,5475.25,5772.5,,24120.5
Théâtre-Lyrique,11598.4,21446.2,23927.7,20477.1,15011.5,,92460.9
Vaudeville,,,,,,,
Théâtre des Variétés,9199.5,14214,13689.5,12435,20489,,70027
Gymnase,6760.25,9629.5,10714.75,11068.5,12945.25,,51118.25
Palais-Royal,9121.25,15970,13077,13390.25,10997,,62555.5
Porte Saint-Martin,15911.75,25025,27463.25,29684.5,22527,,120611.5
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,98454.96,170212.27,181926.69,182673.86,156383.22,0,789651
