An 1865 - Mars,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,5372.65,24183.61,22008.83,21613.61,21403.69,,94582.39
Théâtre Français,9484.5,20005.5,17862,23895.5,16778.5,,88026
Opéra-Comique,12124.25,24555,23724.5,22838,18891.25,,102133
Théâtre des Italiens,20024,39216,17832,21152,14253,,112477
Odéon,1116.25,5579,7246,12645.75,8343.5,,34930.5
Théâtre-Lyrique,14562.4,25782.1,32496.97,31492.95,23840.6,,128175.02
Vaudeville,,,,,,,
Théâtre des Variétés,16148.5,26495.5,24781.5,23822,14654.5,,105902
Gymnase,19226,26766.25,30767.75,30534.65,24884.5,,132179.15
Palais-Royal,15865.25,27660.5,25984.35,21395.75,18470.25,,109376.1
Porte Saint-Martin,5928,2681.25,,15431,41017.75,,65058
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,5400.45,2909.7,,,,,8310.15
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,125252.25,225834.41,202703.9,224821.21,202537.54,,981149.31
