An 1865 - Août ,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,21034.06,32193.69,32013,29822.25,21189.67,,136252.67
Théâtre Français,5226.5,7790.5,10852.5,11197.25,5753,,40819.75
Opéra-Comique,11775,16382.25,12668.5,17527,12473,,70825.75
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,,,,,,,
Vaudeville,,,,,,,
Théâtre des Variétés,4850,6018.5,7726,7988.5,4680.5,,31263.5
Gymnase,3318.25,5646.25,6021,5799,3493.5,,24278
Palais-Royal,9363.25,9996.25,10245.25,10705.5,10395,,50705.25
Porte Saint-Martin,21662.25,25757.5,35269.75,34246.75,19504.75,,136441
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,77229.31,103784.94,114796,117286.25,77489.42,,490585.92
