An 1865 - Septembre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,10595.08,19064.55,27945.15,31207.65,31098.74,,119911.17
Théâtre Français,2200.5,5523.6,6618.5,8065,9708,,32115.6
Opéra-Comique,4523.25,12503.75,15520.25,14334,19180.75,,66062
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,5532.6,14464.7,16043.7,15097.7,17423.7,,68562.4
Vaudeville,,,,,,,
Théâtre des Variétés,1678.5,4985,8770.5,8669.5,8757.5,,32861
Gymnase,2260.75,3477,4302.75,3937.75,5161.75,,19140
Palais-Royal,2217,8309,8139.25,6831.75,9360.75,,34857.75
Porte Saint-Martin,7780.5,0,28418,30836.75,35722.5,,102757.75
Gaîté,,13958.25,,,,,13958.25
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,36788.18,82285.85,115758.1,118980.1,136413.69,,490225.92
