Anno 1865,,,,,,,,,,,,,
Théâtres,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total an
Opéra,129129.62,123279.79,94582.39,71183.16,159677.79,124598.82,121651.31,136252.67,119911.17,140882.66,132806.1,150542.78,1504498.26
Théâtre Français,114444,115915.4,88026,56910.5,100373,82683.5,58889.5,40819.75,32115.6,70483.49,77956,78622,917238.74
Opéra-Comique,134799,131452.5,102133,62150.75,94884.25,62988.75,64825,70825.75,66062,90885.75,86006.25,108970.5,1075983.5
Théâtre des Italiens,181628.17,148323,112477,80210,21609,,,,,81912.55,71989,81195,779343.72
Odéon,38738.75,18907,34930.5,18383.5,16696.25,,,,,17638.75,24120.5,20827.1,190242.35
Théâtre-Lyrique,95966.8,79384.91,128175.02,103108.55,108877,73107.75,,,68562.4,77621.75,92460.9,64694.9,891959.98
Vaudeville,,,,,,,,,,,,,
Théâtre des Variétés,119913,113691,105902,63848.5,70211,18818.5,21546,31263.5,32861,48421,70027,84103,780605.5
Gymnase,77834.5,126523.1,132179.15,80096.75,64860.25,27351,14009.25,24278,19140,45593.75,51118.25,41657.75,704641.75
Palais-Royal,71497.25,99653.75,109376.1,48402.35,40548.75,31224.75,38674.75,50705.25,34857.75,61855.65,62555.5,72801.75,722153.6
Porte Saint-Martin,88564,68349.25,65058,187603.75,176536.25,115100.75,97215.4,136441,102757.75,137871.01,120611.5,104221.5,1400330.16
Gaîté,,,,,,,,,13958.25,,,,13958.25
Ambigu-Comique,,,,,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,,,,,
Folies-Dramatiques,52901.15,40040.75,8310.15,,,,,,,,,,101252.05
Délassement Comiques,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,
Beaumarchais,,,,,,,,,,,,,
Total,1105416.24,1065520.45,981149.31,771897.81,854273.54,535873.82,416811.21,490585.92,490225.92,773166.36,789651,807636.28,9082207.86
