Théâtres,1865-03-12,1865-03-13,1865-03-14,1865-03-15,1865-03-16,1865-03-17,1865-03-18, 12 - 18 mar.
Opéra,6639.53,7473.06,,,,7896.24,,22008.83
Théâtre Français,3611,2300.5,1956.5,2727.5,2471.5,2397,2398,17862
Opéra-Comique,6410.5,3425.5,3554.5,3684.5,3241.5,3408,,23724.5
Théâtre des Italiens,,,7188,,5275,,5369,17832
Odéon,1138.75,1217,966.25,932.25,1217.5,326.25,1448,7246
Théâtre-Lyrique,3327.87,6503.35,6516.85,1783.35,6570.35,1350.85,6444.35,32496.97
Vaudeville,,,,,,,,
Théâtre des Variétés,3397.5,3932.5,3611,3615.5,3329,3383.5,3512.5,24781.5
Gymnase,2123,4754.75,4754.25,4848.75,4725,4852.25,4709.75,30767.75
Palais-Royal,4118.25,3655.35,3523.75,3817.25,3620.25,3535.75,3713.75,25984.35
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,30766.4,33262.01,32071.1,21409.1,30450.1,27149.84,27595.35,202703.9
