Théâtres,1865-04-02,1865-04-03,1865-04-04,1865-04-05,1865-04-06,1865-04-07,1865-04-08, 2 - 8 avr.
Opéra,,5129.5,,7281.09,,7779.32,,20189.91
Théâtre Français,4242.5,1796.5,1981.5,1975,942,1709,1657,14303.5
Opéra-Comique,5463,1964.5,1907,2151.25,1680,1364,1909,16438.75
Théâtre des Italiens,,,6127,3611,4954,,6004,20696
Odéon,2527.5,1186.25,1128.75,1160,815.25,257.5,700,7775.25
Théâtre-Lyrique,2805.35,6300.85,6306.35,,6301.85,551.85,6302.35,28568.6
Vaudeville,,,,,,,,
Théâtre des Variétés,,3046,2678.5,3010,2412.5,2533,2533,16213
Gymnase,3124.5,4127.75,4024.25,3986.75,4102.25,3271,3617,26253.5
Palais-Royal,3504.25,2436,2056.5,2449.75,1909,,2332.85,14688.35
Porte Saint-Martin,7032.5,6825,6751.25,6942.5,6740.25,6581,6580.5,47453
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,28699.6,32812.35,32961.1,32567.34,29857.1,24046.67,31635.7,212579.86
