Théâtres,1865-04-16,1865-04-17,1865-04-18,1865-04-19,1865-04-20,1865-04-21,1865-04-22,16 - 22 avr.
Opéra,,7765.22,,8372.81,,8940.66,,25078.69
Théâtre Français,2322.5,3217.5,3697.5,2900.5,3125,2921.5,2972.5,21157
Opéra-Comique,4216,4381.5,3560.5,2731,3609,2779,2657.25,23934.25
Théâtre des Italiens,,,7569,5872,6893,,,20334
Odéon,691.75,767.5,750.5,493.25,574,635,396.75,4308.75
Théâtre-Lyrique,1863.5,6372.35,6430.35,,6441.35,733.85,6226.85,28068.25
Vaudeville,,,,,,,,
Théâtre des Variétés,2374,3403,3013.5,2838,2931,2905,2520.5,19985
Gymnase,906.75,3435.25,3552.75,3100,3059.75,3809,2800.25,20663.75
Palais-Royal,1720.25,2517.25,2165.5,2310,2658.5,2247.5,1469.5,15088.5
Porte Saint-Martin,6580.25,6986.5,6943.75,6838,6861.25,6800.5,6490.75,47501
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,20675,38846.07,37683.35,35455.56,36152.85,31772.01,25534.35,226119.19
