Théâtres,1865-04-30,1865-05-01,1865-05-02,1865-05-03,1865-05-04,1865-05-05,1865-05-06,30 avr.,1 - 6 mai
Opéra,,10563.63,,11004.17,,11559.38,,,33127.18
Théâtre Français,1917.5,3511,1317.5,4344,2494.5,4762.5,4784,1917.5,21213.5
Opéra-Comique,2085.5,1798,2874.5,1231.5,3636.5,2576,4749,2085.5,16865.5
Théâtre des Italiens,,,8125,5887,7597,,,,21609
Odéon,541.25,368.25,405.25,388,295.25,491.75,480.5,541.25,2429
Théâtre-Lyrique,1302.35,2178.85,6124.35,1575.35,6100.35,1431.85,6142.35,1302.35,23553.1
Vaudeville,,,,,,,,,
Théâtre des Variétés,1269.5,2643,2332.5,1787,2385,2548.5,2844,1269.5,14540
Gymnase,1913.5,2851.75,2271.25,2303,2505,2892.25,2794.25,1913.5,15617.5
Palais-Royal,1101,1717.25,1634.75,1650,3373.5,1651,1913.25,1101,11939.75
Porte Saint-Martin,5679.75,6712,6196,6213.25,6329,6467,6706.5,5679.75,38623.75
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,15810.35,32343.73,31281.1,36383.27,34716.1,34380.23,30413.85,15810.35,199518.28
