Théâtres,1865-01-08,1865-01-09,1865-01-10,1865-01-11,1865-01-12,1865-01-13,1865-01-14,8 - 14 gen.
Opéra,4192.31,8134.23,,8906.33,,6943.37,,28176.24
Théâtre Français,3088.5,4008.5,3887,3756,2818,4343,3905.5,25806.5
Opéra-Comique,4821,5002,5265.75,3442,5794,2618,5930,32872.75
Théâtre des Italiens,3325,,6341.8,11785,4919.55,,13015,39386.35
Odéon,1737,1508.5,1176.5,1266.25,1207.25,1317.25,950.25,9163
Théâtre-Lyrique,3912.85,1535.85,3312.85,2717.25,2508.85,2787.35,3317.85,20092.85
Vaudeville,,,,,,,,
Théâtre des Variétés,2926,4139,4075,4246.5,4139,4103.5,4159,27788
Gymnase,2434.5,1701,1657.5,1801,1532.5,1819.75,1507.5,12453.75
Palais-Royal,3406,2518,2122.25,2311.5,1825.25,2422.75,1733,16338.75
Porte Saint-Martin,3271.5,2927.75,2736,2854,2325.25,2277,2056.25,18447.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,3103.85,,2009,2279.2,1581.45,1921.6,,10895.1
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,36218.51,31474.83,32583.65,45365.03,28651.1,30553.57,36574.35,241421.04
