Théâtres,1865-05-28,1865-05-29,1865-05-30,1865-05-31,1865-06-01,1865-06-02,1865-06-03,28 - 31 mai,1 al 3 juin
Opéra,,11846.66,,11519.29,,11962.68,,23365.95,11962.68
Théâtre Français,1182.5,4173,4584.5,767.5,4880.5,2960.5,5140,10707.5,12981
Opéra-Comique,1434.5,1808.5,1076.5,2437.25,2546,3301,3628.5,6756.75,9475.5
Théâtre des Italiens,,,,,,,,0,0
Odéon,995.5,249.5,345.5,489.25,,,,2079.75,0
Théâtre-Lyrique,934.35,5006.85,4005.35,856.85,4601.85,,5480.85,10803.4,10082.7
Vaudeville,,,,,,,,,
Théâtre des Variétés,1857.5,1576.5,2127.5,3679,,,,9240.5,0
Gymnase,1243.75,1063.5,1494.75,1858,2047.25,1963.75,1514,5660,5525
Palais-Royal,566.25,517,558.25,626.75,1316.25,1209.5,1610,2268.25,4135.75
Porte Saint-Martin,3442,3385,3979.75,4806,5556.5,5102,5434.5,15612.75,16093
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,11656.35,29626.51,18172.1,27039.89,20948.35,26499.43,22807.85,86494.85,70255.63
