Théâtres,1865-06-04,1865-06-05,1865-06-06,1865-06-07,1865-06-08,1865-06-09,1865-06-10,4 -10 juin
Opéra,,,,12147,,11980.08,,24127.08
Théâtre Français,1589.5,5458.5,1260,4778,4235,1714.5,3665.5,22701
Opéra-Comique,3919.5,4753.5,2420,1813.5,923.5,2339.5,1250.5,17420
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,970.35,5135.35,4374.35,,4007.35,983.85,3263.35,18734.6
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,1977.25,1972.25,1578.75,1133.5,928.5,,724.25,8314.5
Palais-Royal,1455.5,1315.25,1129,802,848,735,358,6642.75
Porte Saint-Martin,5447.25,6277.75,5725.25,4258.25,3751.25,4306.5,2872.75,32639
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,15359.35,24912.6,16487.35,24932.25,14693.6,22059.43,12134.35,130578.93
