Théâtres,1865-06-18,1865-06-19,1865-06-20,1865-06-21,1865-06-22,1865-06-23,1865-06-24,18 - 24 juin 
Opéra,,11009.96,,10744.09,,,,21754.05
Théâtre Français,1485.5,3780.5,2935,940.5,2500,1048,2485,15174.5
Opéra-Comique,3252,1267,2461.5,1197,1011,886,1432.5,11507
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,1043.35,3003.35,2565.5,754.85,2892.85,517.85,2870.85,13648.6
Vaudeville,,,,,,,,
Théâtre des Variétés,1096,,959.5,491.5,465,445.5,663.5,4121
Gymnase,1113,385.25,295,356.5,297.5,141.5,368.75,2957.5
Palais-Royal,1817.75,710,925.25,775.25,474,374.25,608.5,5685
Porte Saint-Martin,4181.25,2773.5,3116,2748.75,3038.75,2153.5,2252.25,20264
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,13988.85,22929.56,13257.75,18008.44,10679.1,5566.6,10681.35,95111.65
