Théâtres,1865-06-25,1865-06-26,1865-06-27,1865-06-28,1865-06-29,1865-06-30,1865-07-01,25 - 30  juin,1 juil.
Opéra,,10322.46,,10009.14,,10905.87,,31237.47,
Théâtre Français,547.5,2805.5,2692,581,3028,1214.5,4018.5,10868.5,4018.5
Opéra-Comique,2776,1172,1701.5,1239.5,2196.5,2992,2992.5,12077.5,2992.5
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,700.35,,3129.85,2695.35,2938.35,4002.35,,13466.25,
Vaudeville,,,,,,,,,
Théâtre des Variétés,364.5,785,768,752,745.5,1291.5,2045,4706.5,2045
Gymnase,512.25,366.25,374.75,333,576,954.5,942.25,3116.75,942.25
Palais-Royal,769,1029.25,611.5,614.75,1210.75,1710.25,2015.5,5945.5,2015.5
Porte Saint-Martin,2621.5,2914.75,2760.5,2489.75,3587.5,4022,4789.5,18396,4789.5
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,8291.1,19395.21,12038.1,18714.49,14282.6,27092.97,16803.25,99814.47,16803.25
