Théâtres,1865-01-15,1865-01-16,1865-01-17,1865-01-18,1865-01-19,1865-01-20,1865-01-21, 15 - 21 jan.
Opéra,,9713.14,,8468.64,,10169.61,,28351.39
Théâtre Français,4268,4075.5,3207.5,2807.5,4349.5,2631.5,4520.5,25860
Opéra-Comique,5049.5,3406.25,4936.5,2442,3790,3851,6.308.50,23475.25
Théâtre des Italiens,,,13691,4037,12294,,6101,36123
Odéon,1453.5,1484,1115.5,1769,2397,823.5,1472.75,10515.25
Théâtre-Lyrique,3085.35,3458.35,2685.85,3569.35,3159.35,4438.35,2574.85,22971.45
Vaudeville,,,,,,,,
Théâtre des Variétés,3559,4160.5,4109.5,4183.5,4201.5,4227.5,4307,28748.5
Gymnase,3059,1865,1603.25,1820.5,1812.25,,1708.25,11868.25
Palais-Royal,3523,1603.5,1648.5,1922,2011.75,3802,1772.25,16283
Porte Saint-Martin,4519.25,2969.5,2164.5,2433.75,2707.25,,1852.5,16646.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,2034.9,1736.6,1865.55,1754.15,2113.15,1997.7,11502.05
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,28516.6,34770.64,36898.7,35318.79,38476.75,32056.61,26306.8,232344.89
