,,,,,,,,,
Théâtres,1865-07-30,1865-07-31,1865-08-01,1865-08-02,1865-08-03,1865-08-04,1865-08-05,30 - 31 juil.,1 - 5 août
Opéra,,9076.14,,9981.81,,11052.25,,9076.14,21034.06
Théâtre Français,3051,383,949.5,904,1508.5,904,960.5,3434,5226.5
Opéra-Comique,2325,777,1953,1312.25,3355.75,2078.5,3075.5,3102,11775
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,,,,,,
Vaudeville,,,,,,,,,
Théâtre des Variétés,645,673.5,845.5,821,1356,1365,462.5,1318.5,4850
Gymnase,456.75,297.25,791,722.25,917.5,887.5,,754,3318.25
Palais-Royal,918,914.5,1717.75,1702.75,2532.25,2208.25,1202.25,1832.5,9363.25
Porte Saint-Martin,2264.75,2286.25,5522.75,3692,4073.75,4475,3898.75,4551,21662.25
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,9660.5,14407.64,11779.5,19136.06,13743.75,22970.5,9599.5,24068.14,77229.31
