Théâtres,1865-08-06,1865-08-07,1865-08-08,1865-08-09,1865-08-10,1865-08-11,1865-08-12,6 -12 août
Opéra,,10504.14,,11128.3,,10561.25,,32193.69
Théâtre Français,894,1141,1668.5,933.5,750,1090,1313.5,7790.5
Opéra-Comique,4239.5,2197.75,2236.5,2077.5,1949,1657,2025,16382.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,819,854,1038.5,900.5,1065.5,734.5,606.5,6018.5
Gymnase,790.5,1188,832.25,842.5,521.5,923.5,548,5646.25
Palais-Royal,1638,1404,2122,1851.25,1379.75,451.25,1150,9996.25
Porte Saint-Martin,3771,3150.25,3898.75,3634.75,3750.5,3550,4002.25,25757.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,12152,20439.14,11796.5,21368.3,9416.25,18967.5,9645.25,103784.94
