Théâtres,1865-08-20,1865-08-21,1865-08-22,1865-08-23,1865-08-24,1865-08-25,1865-08-26,20 - 26 août.
Opéra,,12156.05,,5853.62,,11812.58,,29822.25
Théâtre Français,1960.5,1002.5,1290,2599,840.5,2649.25,855.5,11197.25
Opéra-Comique,3194,2200.5,2659,1444.5,2485,1975,3569,17527
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,1191,922,1630.5,1316,1058.5,1225.5,645,7988.5
Gymnase,1069.5,731.25,940.75,1024.75,655,877.5,500.25,5799
Palais-Royal,1508.5,1420,1918.5,1611.25,1407,1622.75,1217.5,10705.5
Porte Saint-Martin,3888,4843.75,5542.5,5695.25,4670.25,5526.25,4080.75,34246.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,12811.5,23276.05,13981.25,19544.37,11116.25,25688.83,10868,117286.25
