Théâtres,1865-09-24,1865-09-25,1865-09-26,1865-09-27,1865-09-28,1865-09-29,1865-09-30,24 - 30  sept.
Opéra,,10524.45,,9957.62,,10616.67,,31098.74
Théâtre Français,1444.5,660,1120.5,2011.5,1292.5,1927.5,1251.5,9708
Opéra-Comique,3369.5,2393.5,2087.25,2551,2237.5,4304.5,2237.5,19180.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,2510.1,876.1,3869.1,649.6,4329.1,849.1,4340.6,17423.7
Vaudeville,,,,,,,,
Théâtre des Variétés,1066.5,1290,1207.5,1193.5,1352,1261.5,1386.5,8757.5
Gymnase,1001.5,889.5,384.5,618.5,835.5,754.75,677.5,5161.75
Palais-Royal,1266,1218.5,1237,1304.75,1510.5,909.5,1914.5,9360.75
Porte Saint-Martin,4356.5,5065.25,5187.5,5204,5305.25,5556.75,5047.25,35722.5
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,15014.6,22917.3,15093.35,23490.47,16862.35,26180.27,16855.35,136413.69
