Théâtres,1865-10-01,1865-10-02,1865-10-03,1865-10-04,1865-10-05,1865-10-06,1865-10-07,1 - 7 oct.
Opéra,,10057.54,,10498.21,,11008.67,,31564.42
Théâtre Français,2349.5,2124,2755.5,1581.5,3095.5,1617,2058.5,15581.5
Opéra-Comique,3992,1522.5,3382.5,2320.5,3332,2677,3081,20307.5
Théâtre des Italiens,,5671.55,,,3430,,4328,13429.55
Odéon,,1575.25,939.75,889.5,862.5,409.75,648,5324.75
Théâtre-Lyrique,2385.1,2020.1,3902.6,602.6,3783.1,1366.1,3936.3,17995.9
Vaudeville,,,,,,,,
Théâtre des Variétés,1847.5,1412.5,1548,1640,1545,1877.5,1368.5,11239
Gymnase,1037.25,929.25,810.75,900,1178,1718,1177.75,7751
Palais-Royal,1810,1106,1512,1503.5,,2107,1620.5,9659
Porte Saint-Martin,4929.26,4504.25,4504.25,5013.25,4963.75,4969.25,4459.25,33343.26
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,18350.61,30922.94,19355.35,24949.06,22189.85,27750.27,22677.8,166195.88
