Théâtres,1865-10-29,1865-10-30,1865-10-31,1865-11-01,1865-11-02,1865-11-03,1865-11-04,29 - 31 oct.,1 - 4 nov.
Opéra,3854.74,7487.8,,9216.87,,5127.19,,11342.54,14344.06
Théâtre Français,4632,1079.5,2282.5,4498.5,980.5,1519,1701.5,7994,8699.5
Opéra-Comique,5602,1334.5,3135.25,4856.5,1454,2213.25,2767,10071.75,11290.75
Théâtre des Italiens,,2644,5178,,3991,,5842,7822,9833
Odéon,1180.5,275.25,289.75,1080,171.25,222.5,222.75,1745.5,1696.5
Théâtre-Lyrique,3065.6,2328.1,1201.1,5409.1,853.1,4118.1,1218.1,6594.8,11598.4
Vaudeville,,,,,,,,,
Théâtre des Variétés,2206.5,978,1412.5,3140.5,1819,1993.5,2246.5,4597,9199.5
Gymnase,2852.75,1471,1708.5,2846.75,930.5,1452.75,1530.25,6032.25,6760.25
Palais-Royal,3211.25,1519.5,2223,3417.25,1347.25,2233.5,2123.25,6953.75,9121.25
Porte Saint-Martin,5044.25,2875.25,4021.25,5743.5,3070,3484.75,3613.5,11940.75,15911.75
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,31649.59,21992.9,21451.85,40208.97,14616.6,22364.54,21264.85,75094.34,98454.96
