Théâtres,1865-11-05,1865-11-06,1865-11-07,1865-11-08,1865-11-09,1865-11-10,1865-11-11,5 -11 nov.
Opéra,4347.13,8556.4,,8048.85,,6884.19,,27836.57
Théâtre Français,4468.5,1347,2223.5,1980,2823.5,857.5,3502,17202
Opéra-Comique,5382,1780.5,2147.75,1367,1353,2159.5,2708.5,16898.25
Théâtre des Italiens,,2067,5215,,4545,,4856,16683
Odéon,1429.25,256.5,1110,465.5,743.5,337.5,965.5,5307.75
Théâtre-Lyrique,5368.1,1162.1,4683.1,772.1,3723.6,4403.6,1333.6,21446.2
Vaudeville,,,,,,,,
Théâtre des Variétés,4785.5,1480.5,1693,1348.5,1472,1782,1652.5,14214
Gymnase,2639.25,1122.5,1184.25,878,1027.75,1341.75,1436,9629.5
Palais-Royal,3211.75,1313.75,1823.5,1550.5,1535,1796.5,4739,15970
Porte Saint-Martin,4842.75,3657.75,3614,2955.75,2889.5,3376,3689.25,25025
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,36474.23,22744,23694.1,19366.2,20112.85,22938.54,24882.35,170212.27
