Théâtres,1865-01-29,1865-01-30,1865-01-31,1865-02-01,1865-02-02,1865-02-03,1865-02-04,29 -31 jan.,1 al 4 fév.
Opéra,4438.04,8481.14,,7029.15,,6193.37,,12919.18,13222.52
Théâtre Français,3050,2195.5,3923,3684,2477.5,4421.5,3881,9168.5,14464
Opéra-Comique,6051,2562,5487.75,2228.5,5790,3963,6187.75,14100.75,18169.25
Théâtre des Italiens,8884,,5653,10042,4897,,12817,14537,27756
Odéon,1639.5,413.5,378.5,573.25,465.25,442.25,608.25,2431.5,2089
Théâtre-Lyrique,5620.85,2342.25,3630.85,1848.85,3151.35,2461.85,4777.85,11593.95,12239.9
Vaudeville,,,,,,,,,
Théâtre des Variétés,2541.5,4366.5,4338,4171.5,4292,4182.5,4218.5,11246,16864.5
Gymnase,2277.5,4782.25,4803.5,4641,4525.25,4914.75,4733.5,11863.25,18814.5
Palais-Royal,3229.5,1517.5,1953,3070,3414,3745.25,3803.75,6700,14033
Porte Saint-Martin,3694,1981.5,1537.5,1268,2544,,2505.75,7213,6317.75
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,3009.4,1520.9,1979.5,1151,1665.9,1785.3,1582.95,6509.8,6185.15
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,44435.29,30163.04,33684.6,39707.25,33222.25,32109.77,45116.3,108282.93,150155.57
