Théâtres,1865-12-17,1865-12-18,1865-12-19,1865-12-20,1865-12-21,1865-12-22,1865-12-23,12 - 22 dic.
Opéra,4199.04,8041.49,,10353.17,,7216.09,,29809.79
Théâtre Français,3706.5,1697.5,1804,1764.5,1402.5,1209.5,2584,14168.5
Opéra-Comique,4281.5,4112.5,2553.75,5090,2029.5,5718,3025,26810.25
Théâtre des Italiens,,2965,5461,,3783,,6402,18611
Odéon,1485.75,665,614.75,335.75,235,1478.75,327.5,5142.5
Théâtre-Lyrique,3268.1,816.1,,3194.6,,3855.1,,11133.9
Vaudeville,,,,,,,,
Théâtre des Variétés,2864.5,3413,,2740,2817.5,2430,2588.5,16853.5
Gymnase,2091.5,1191,,680,947.25,916.75,680,6506.5
Palais-Royal,3715.5,2705,,2508.5,2611.75,2164.75,,13705.5
Porte Saint-Martin,4185.75,2701.5,2770.75,2580.25,2280.75,2155.5,2406.75,19081.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,29798.14,28308.09,13204.25,29246.77,16107.25,27144.44,18013.75,161822.69
