Théâtres,1865-02-19,1865-02-20,1865-02-21,1865-02-22,1865-02-23,1865-02-24,1865-02-25, 19 - 25 fév.
Opéra,,8770.14,,8976.15,,10006.56,,27752.85
Théâtre Français,3140.5,3210.5,3297,3526.5,3269.5,3100,4445,23989
Opéra-Comique,5819.5,3582.5,5262.25,2129.5,5354.5,2115,6132.5,30395.75
Théâtre des Italiens,,,11482,6248,12123,,8465,38318
Odéon,922.25,287.75,323.25,267.25,393.75,402.5,2605,5201.75
Théâtre-Lyrique,4277.35,1584.35,,1367.65,1061.85,1463.85,4441.85,14196.9
Vaudeville,,,,,,,,
Théâtre des Variétés,4012.5,4034.5,4104,4072.5,4041.5,4085.5,4156.5,28507
Gymnase,3285.25,4782.5,4877,4711.5,4820,4759.25,4878,32113.5
Palais-Royal,4268.75,3833.5,4113,3905.75,4041.25,3915.75,,24078
Porte Saint-Martin,2799.25,1922.75,1720,1710,1822.25,1499.5,1918,13391.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,2638.35,964.45,888.85,1071.6,1114.45,848.15,,7525.85
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,31163.7,32972.94,36067.35,37986.4,38042.05,32196.06,37041.85,245470.35
