Théâtres,1865-02-26,1865-02-27,1865-02-28,1865-03-01,1865-03-02,1865-03-03,1865-03-04, 26 - 28 fév.,1 - 4 mar.
Opéra,8245.94,9723.64,8946.3,5372.65,,,,26915.88,5372.65
Théâtre Français,5328.5,5059,6066,2809.5,2270.5,3262,1142.5,16453.5,9484.5
Opéra-Comique,6063,7569,7582,1826,3717,1518.5,5062.75,21214,12124.25
Théâtre des Italiens,7703,,14364,4167,8718,,7139,22067,20024
Odéon,732,1145,2688.25,193.5,296.25,208.25,418.25,4565.25,1116.25
Théâtre-Lyrique,4021.35,6356.85,6374.85,868.85,6463.85,819.85,6409.85,16753.05,14562.4
Vaudeville,,,,,,,,,
Théâtre des Variétés,3474,4517,4639,4036,4002.5,4002.5,4107.5,12630,16148.5
Gymnase,2930.25,4874.5,4858.25,4770,4817,4832.25,4806.75,12663,19226
Palais-Royal,,4214.25,4905.75,3934,3902.25,4105.25,3923.75,9120,15865.25
Porte Saint-Martin,3185.75,3523.75,4719.75,1375,1368.5,1558.5,1626,11429.25,5928
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,1244,2411.95,3033.2,2703.55,814.75,,1882.15,6689.15,5400.45
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,42927.79,49394.94,68177.35,32056.05,36370.6,20307.1,36518.5,160500.08,125252.25
