An 1866 - Octobre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,22333.38,24399.97,21388.8,27481.6,19455.04,,115058.79
Théâtre Français,8127.5,13819.49,16044,13685,8515,,60190.99
Opéra-Comique,12598,19053.25,19446.75,19512,11939.5,,82549.5
Théâtre des Italiens,23970.91,0,26969,16573,3963,,71475.91
Odéon,3515.25,5291.5,5489.25,4096,8075.75,,26467.75
Théâtre-Lyrique,16609.1,18202.1,13576.9,26648.7,12209.9,,87246.7
Vaudeville,,,,,,,
Théâtre des Variétés,,,,,,,
Gymnase,13582.25,32256.55,30041.5,32777.75,17078.5,,125736.55
Palais-Royal,10568.5,5593.76,8047,6778.25,,,30987.51
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,111304.89,118616.62,141003.2,147552.3,81236.69,0,599713.7
