An 1866 - Décembre,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,0,26861.91,27074.68,18327.97,20282.17,12787.49,105334.22
Théâtre Français,2594,18761,19981.5,17417,19420,9000,87173.5
Opéra-Comique,6035,26698.25,28695,25833.75,23705.5,9728,120695.5
Théâtre des Italiens,9781,9728,19022,24595,24051,752,87929
Odéon,0,19547.5,12940.75,10777.75,8652.75,3246.9,55165.65
Théâtre-Lyrique,1665.1,14433,20687.4,30204.3,27741.8,3952.2,98683.8
Vaudeville,,,,,,,0
Théâtre des Variétés,,,,,,,0
Gymnase,4762.75,29872.5,24169.25,22427.25,21801.25,4699.25,107732.25
Palais-Royal,4204.25,4020.5,,,,,8224.75
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,29042.1,149922.66,152570.58,149583.02,145654.47,44165.84,670938.67
