An 1866 - Avril,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,29924.86,34059.21,37281.88,45409.08,10316.28,,156991.31
Théâtre Français,35604.5,30863,38705.5,23398.5,5756.5,,134328
Opéra-Comique,37057.5,25668.25,24115.25,22040.75,8463,,117344.75
Théâtre des Italiens,39807,32628,42872,28126,3141,,146574
Odéon,30651.75,20405.25,16410.75,12783.25,3184.75,,83435.75
Théâtre-Lyrique,30908.6,22668.2,18456.2,12901,676.6,,85610.6
Vaudeville,,,,,,,
Théâtre des Variétés,27538.5,22755,21731.5,18806,6529,,97360
Gymnase,13051.75,11426,9756.75,8551.5,3335.5,,46121.5
Palais-Royal,18225,15400,9737,9229,5515.5,,58106.5
Porte Saint-Martin,29870.99,20724.25,16750.75,14244.5,4599.5,,86189.99
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,292640.45,236597.16,235817.58,195489.58,51517.63,,1012062.4
