An 1866 - Mai,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,33835.91,38522.67,23028.9,27094.98,13923.17,,136405.63
Théâtre Français,18663,22906,19841,20769,10822.5,,93001.5
Opéra-Comique,16747,24865,23914.5,21313,13788.5,,100628
Théâtre des Italiens,15066,,,,,,15066
Odéon,12071,20993.5,11694.75,8687,9808,,63254.25
Théâtre-Lyrique,9160.3,13261.5,23317.6,22952.1,15953.5,,84645
Vaudeville,,,,,,,
Théâtre des Variétés,15081.5,14415,14756.5,16469,10320.49,,71042.49
Gymnase,5761.85,8687.5,16529.5,15328.75,7162.5,,53470.1
Palais-Royal,10298,16117,12690.5,14345,8209.5,,61660
Porte Saint-Martin,12969.75,14437,13438.25,10798.25,9825,,61468.25
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,149654.31,174205.17,159211.5,157757.08,99813.16,,740641.22
