An 1866 - Juin,,,,,,,
Teatri,Settimane,,,,,,Totale Mese
Opéra,6822.07,22700.49,20911.05,18907.55,16261.01,,85602.17
Théâtre Français,4698,14093,6728,6363,3124.5,,35006.5
Opéra-Comique,5229.75,13739.75,12737.6,13787.75,4389.25,,49884.1
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,7334.2,21830.61,15320.8,19200.7,9716.2,,73402.51
Vaudeville,,,,,,,
Théâtre des Variétés,4205.5,5620.5,4641,10603.5,2955,,28025.5
Gymnase,3403,3422.5,3038,6432.75,1762.25,,18058.5
Palais-Royal,3176,5396.25,4202.75,8275.26,2145,,23195.26
Porte Saint-Martin,2777.75,7161.6,1225.5,619.5,2428,,14212.35
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,37646.27,93964.7,68804.7,84190.01,42781.21,,327386.89
