An 1866 - Août,,,,,,,
Teatri,Settimane,,,,,,Totale Mese
Opéra,6686.66,20292.78,20303.78,20956.06,19066.32,,87305.6
Théâtre Français,3569.5,6490,6990.5,7112.5,6627.6,,30790.1
Opéra-Comique,5544.25,13877.5,14773.5,9750.25,10687.25,,54632.75
Théâtre des Italiens,,,,,,,
Odéon,,,,,,,
Théâtre-Lyrique,6423.9,9941.2,14034.6,13638.5,7540,,51578.2
Vaudeville,,,,,,,
Théâtre des Variétés,2961,4388.5,6790.5,4329,1900,,20369
Gymnase,4286.5,5300.75,5130.9,4075.25,3034.5,,21827.9
Palais-Royal,3482.5,6886.75,7859.75,12139.25,12209.5,,42577.75
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,32954.31,67177.48,75883.53,72000.81,61065.17,,309081.3
