Théâtres,1866-01-01,1866-01-02,1866-01-03,1866-01-04,1866-01-05,1866-01-06,,1 al 6 jan.
Opéra,9748,,5863.64,,10522.55,,,26134.19
Théâtre Français,2927.5,4144.5,2098.5,1310,1934,2153,,14567.5
Opéra-Comique,6423,7508.5,5096.75,5781.5,4472.5,6185.5,,35467.75
Théâtre des Italiens,2375,5967,,5034,,6140,,19516
Odéon,3278.25,3979.25,2988.25,2385.25,2000,1757.5,,16388.5
Théâtre-Lyrique,,5004.6,6131.6,2712.6,6127.1,3014.6,,22990.5
Vaudeville,,,,,,,,
Théâtre des Variétés,3686.5,4137,3331.5,2907.5,2805.5,2544.5,,19412.5
Gymnase,1325.75,2812.25,1149,1171.25,1139.75,1045,,8643
Palais-Royal,2824.75,3631,2625.75,2106.75,2010.75,1834.25,,15033.25
Porte Saint-Martin,3850,6179,4871,4043,4252.5,3664.75,,26860.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,36438.75,43363.1,34155.99,27451.85,35264.65,28339.1,,205013.44
