Théâtres,1866-04-29,1866-04-30,1866-05-01,1866-05-02,1866-05-03,1866-05-04,1866-05-05, 28 - 30 avr.,1 - 5 mai
Opéra,,10316.28,,10443.12,,10868.99,12523.8,10316.28,33835.91
Théâtre Français,1654.5,4102,4288,4166,1882.5,4197,4129.5,5756.5,18663
Opéra-Comique,5925.5,2537.5,4538,3180.75,3264.5,2428.75,3335,8463,16747
Théâtre des Italiens,,3141,4529,,5071,,5466,3141,15066
Odéon,957,2227.75,2450.5,2634.25,2466,2226.25,2294,3184.75,12071
Théâtre-Lyrique,,676.6,,,1769.6,3086.6,4304.1,676.6,9160.3
Vaudeville,,,,,,,,,
Théâtre des Variétés,3451.5,3077.5,3169,3178,2942,3099.5,2693,6529,15081.5
Gymnase,1653.75,1681.75,1275.75,1551.5,1156,921.6,857,3335.5,5761.85
Palais-Royal,1912.5,3603,,2003.5,2647.5,2908.25,2738.75,5515.5,10298
Porte Saint-Martin,2434,2165.5,2786.25,2621,2464.25,2909.25,2189,4599.5,12969.75
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,17988.75,33528.88,23036.5,29778.12,23663.35,32646.19,40530.15,51517.63,149654.31
