Théâtres,1866-05-13,1866-05-14,1866-05-15,1866-05-16,1866-05-17,1866-05-18,1866-05-19, 13 - 19 mai
Opéra,,6539.75,,6470.12,,10019.03,,23028.9
Théâtre Français,1510,3510,3874.5,3311.5,1581,3162.5,2891.5,19841
Opéra-Comique,5651.5,1934,3721.25,3751.25,3523,2720,2613.5,23914.5
Théâtre des Italiens,,,,,,,,
Odéon,3869.75,1689.25,1546.5,1363.75,1071.75,1117.75,1036,11694.75
Théâtre-Lyrique,3121.1,1794.1,5874.1,,6032.1,626.6,5869.6,23317.6
Vaudeville,,,,,,,,
Théâtre des Variétés,,3111.5,2819.5,2419,2145.5,2190.5,2070.5,14756.5
Gymnase,,3293.25,2906.25,2701,2620,2772,2237,16529.5
Palais-Royal,,2510.75,2772.75,1902.5,1845.25,1829.25,1830,12690.5
Porte Saint-Martin,2552,,2152.25,2015,1709,2197,2813,13438.25
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,16704.35,24382.6,25667.1,23934.12,20527.6,26634.63,21361.1,159211.5
