Théâtres,1866-05-27,1866-05-28,1866-05-29,1866-05-30,1866-05-31,1866-06-01,1866-06-02, 27 - 31 mai,1 al 2 juin
Opéra,,8273.67,,5649.5,,6822.07,,13923.17,6822.07
Théâtre Français,1241.5,2841.5,2731,1101.5,2907,2733,1965,10822.5,4698
Opéra-Comique,3651.5,2499,3011,2093,2534,2936.5,2293.25,13788.5,5229.75
Théâtre des Italiens,,,,,,,,,
Odéon,1339.25,1609.25,1669.25,2056.25,3134,,,9808,
Théâtre-Lyrique,906.1,1681.6,6049.6,1332.6,5983.6,1402.1,5932.1,15953.5,7334.2
Vaudeville,,,,,,,,,
Théâtre des Variétés,1176.5,2576,2221.99,2097.5,2248.5,2625,1580.5,10320.49,4205.5
Gymnase,1548.75,1631,2049.5,,1933.25,1943.5,1459.5,7162.5,3403
Palais-Royal,1529.5,1305,1941,1504.25,1929.75,2056.5,1119.5,8209.5,3176
Porte Saint-Martin,2525.75,1825.75,2078.75,1597.5,1797.25,1490.5,1287.25,9825,2777.75
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,13918.85,24242.77,21752.09,17432.1,22467.35,22009.17,15637.1,99813.16,37646.27
