Théâtres,1866-06-03,1866-06-04,1866-06-05,1866-06-06,1866-06-07,1866-06-08,1866-06-09, 3 - 9 juin
Opéra,,6921.17,,8724.24,,7055.08,,22700.49
Théâtre Français,1352.5,2193,2240.5,2415,2468,1700,1724,14093
Opéra-Comique,2347.5,1919.5,2190,1855.5,2335.25,1137,1955,13739.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,885.1,3367.6,5510.1,922.5,5080.11,1061.1,5004.1,21830.61
Vaudeville,,,,,,,,
Théâtre des Variétés,672.5,,,1839,1355,1082.5,671.5,5620.5
Gymnase,633.5,,,1616.5,662.25,,510.25,3422.5
Palais-Royal,809.5,,,1158.25,2157.75,660.25,610.5,5396.25
Porte Saint-Martin,1336,1878,1453.1,904,750.75,549.5,290.25,7161.6
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,8036.6,16279.27,11393.7,19434.99,14809.11,13245.43,10765.6,93964.7
