Théâtres,1866-07-15,1866-07-16,1866-07-17,1866-07-18,1866-07-19,1866-07-20,1866-07-21, 15 - 21 juil.
Opéra,,4837.67,,6301.2,,5095.59,,16234.46
Théâtre Français,504,717,659.5,374,765,636.5,366,4022
Opéra-Comique,586.5,2552,964,1351.75,878,1993,844,9169.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,,,,,,,
Théâtre des Variétés,,2026.5,,1304,,1526,1742,6598.5
Gymnase,,,,372,,538.5,410.75,1321.25
Palais-Royal,,1008,,303.5,,454.25,366,2131.75
Porte Saint-Martin,,,,,,1449.5,1258.5,2708
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,1090.5,11141.17,1623.5,10006.45,1643,11693.34,4987.25,42185.21
