Théâtres,1866-01-14,1866-01-15,1866-01-16,1866-01-17,1866-01-18,1866-01-19,1866-01-20,14 -20 jan.
Opéra,5285.95,9093.92,,7741.69,,9876.65,,31998.21
Théâtre Français,3326.5,2988.5,1918.5,1099,2241,1785.5,4386,17745
Opéra-Comique,5797,2988.5,5689,3767,6063,3553,6230.75,34088.25
Théâtre des Italiens,,12263,5043,,10186,,5626,33118
Odéon,3755.25,724.25,1420.75,1690.75,1490.75,1631.25,1633.25,12346.25
Théâtre-Lyrique,2432.1,5565.6,,5376.1,2006.1,5711.6,2586.6,23678.1
Vaudeville,,,,,,,,
Théâtre des Variétés,2584,2799.5,2589.5,2601.5,2556.5,2935,3076,19142
Gymnase,2263,1063.25,,1430,1071.75,1282.5,1919.75,9030.25
Palais-Royal,2935.25,1663.25,2002,2045,1912.5,1711.5,2322.5,14592
Porte Saint-Martin,4058,2950.25,2890.25,3421.25,3076.25,3030.25,3664.75,23091
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,32437.05,42100.02,21553,29172.29,30603.85,31517.25,31445.6,218829.06
