Théâtres,1866-07-29,1866-07-30,1866-07-31,1866-08-01,1866-08-02,1866-08-03,1866-08-04, 29 - 31 juil.,1 - 4 août 
Opéra,,6054.47,,6686.66,,6.784.49,,6054.47,6686.66
Théâtre Français,1670,613,1035,642.5,1324.5,637.5,965,3318,3569.5
Opéra-Comique,3393.5,1425.5,1327.5,1642,2258.5,1643.75,,6146.5,5544.25
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,,,
Théâtre-Lyrique,,,,1690.6,1621.1,2186.1,926.1,,6423.9
Vaudeville,,,,,,,,,
Théâtre des Variétés,3078.5,,,987,617,605,752,3078.5,2961
Gymnase,1596,1227.5,,1047.5,1714,831.5,693.5,2823.5,4286.5
Palais-Royal,2513.5,942,1510.75,1.235.75,1803.25,926.75,752.5,4966.25,3482.5
Porte Saint-Martin,,1249.5,2138.25,,,,,3387.75,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,12251.5,11511.97,6011.5,12696.26,9338.35,6830.6,4089.1,29774.97,32954.31
