Théâtres,1866-08-12,1866-08-13,1866-08-14,1866-08-15,1866-08-16,1866-08-17,1866-08-18, 12 - 18 août 
Opéra,,7013.13,,,5808.6,7482.05,,20303.78
Théâtre Français,2683,599.5,1049.5,,790.5,486.5,1381.5,6990.5
Opéra-Comique,5696,1367.5,2382,,1830.25,1822.25,1675.5,14773.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,3021.6,1639.1,1157.6,,1920.1,4794.6,1501.6,14034.6
Vaudeville,,,,,,,,
Théâtre des Variétés,2489.5,801,943.5,,926,958.5,672,6790.5
Gymnase,2121,668.9,554.5,,590.5,557,639,5130.9
Palais-Royal,2805.25,1110,1411.75,,1423.25,1109.5,,7859.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,18816.35,13199.13,7498.85,0,13289.2,17210.4,5869.6,75883.53
