Théâtres,1866-08-26,1866-08-27,1866-08-28,1866-08-29,1866-08-30,1866-08-31,1866-09-01, 26 - 31 août ,1 sept.
Opéra,,6001.75,,7279.08,,5785.49,,19066.32,
Théâtre Français,654,1051,904.6,1674.5,1336,1007.5,1131.5,6627.6,1131.5
Opéra-Comique,2040.5,769,2600.75,1397.25,2285,1594.75,1409,10687.25,1409
Théâtre des Italiens,,,,,,,,,
Odéon,,,,,,,1593.95,0,1593.95
Théâtre-Lyrique,,1286.1,918.6,1673.6,3010.1,651.6,2483.1,7540,2483.1
Vaudeville,,,,,,,,,
Théâtre des Variétés,260,425.5,604.5,610,,,,1900,
Gymnase,350.25,309.25,490.5,662,480.5,742,358.75,3034.5,358.75
Palais-Royal,1236.5,1438.75,2507.75,2410.75,2307,2308.75,2009,12209.5,2009
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,4541.25,11281.35,8026.7,15707.18,9418.6,12090.09,8985.3,61065.17,8985.3
