Théâtres,1866-09-09,1866-09-10,1866-09-11,1866-09-12,1866-09-13,1866-09-14,1866-09-15,9 - 15 sept.
Opéra,4244.63,6971.18,,7852.13,,7201.1,,26269.04
Théâtre Français,1923,1332.5,1573.5,1616.5,1218.5,1955.5,1375,10994.5
Opéra-Comique,4584.5,1750.75,2582.5,2031.75,1482,1845.75,1785.5,16062.75
Théâtre des Italiens,,,,,,,,
Odéon,1643.5,784.75,988.75,866,964,469.75,880,6596.75
Théâtre-Lyrique,3427.1,2045.6,4473.6,2591.1,3649.6,2259.6,3169.1,21615.7
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,1827.25,889.5,869.5,683.5,,680.25,584.5,5534.5
Palais-Royal,2405.75,1821.75,2222,2254.75,,2130,1808.5,12642.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,20055.73,15596.03,12709.85,17895.73,7314.1,16541.95,9602.6,99715.99
