Théâtres,1866-09-30,1866-10-01,1866-10-02,1866-10-03,1866-10-04,1866-10-05,1866-10-06,30 sept.,1 - 6 oct.
Opéra,,6141.82,,7139.81,,9051.75,,,22333.38
Théâtre Français,1841,1430.5,,1726.5,1593,1531.5,1846,1841,8127.5
Opéra-Comique,3001,2211.5,1085,3127.5,1881.5,2458.5,1834,3001,12598
Théâtre des Italiens,,,13062,,4250.91,,6658,,23970.91
Odéon,1074.25,694.25,723.5,,964.5,482.75,650.25,1074.25,3515.25
Théâtre-Lyrique,2908.6,2258.6,2953.6,3121.1,3603.6,2450.1,2222.1,2908.6,16609.1
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,921.5,723.25,,1913,2952.75,3615.25,4378,921.5,13582.25
Palais-Royal,1309.5,1426,1603,2010.75,1703,2110.25,1715.5,1309.5,10568.5
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,11055.85,14885.92,19427.1,19038.66,16949.26,21700.1,19303.85,11055.85,111304.89
