Théâtres,1866-10-21,1866-10-22,1866-10-236,1866-10-24,1866-10-25,1866-10-26,1866-10-27, 21 - 27 oct.
Opéra,5829.13,5102.27,,9088.12,,7462.08,,27481.6
Théâtre Français,3461,2037.5,2734,1305,2119.5,2028,,13685
Opéra-Comique,4639.5,2528.75,2861.75,2645.5,2275,2282,2279.5,19512
Théâtre des Italiens,,,,,11418,,5155,16573
Odéon,1712,518.75,627,603.25,635,,,4096
Théâtre-Lyrique,4206.1,2397.6,4720.1,4478.6,2218.6,4265.1,4362.6,26648.7
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,4640.25,4775.75,4709,4789.75,4574.25,4604.25,4684.5,32777.75
Palais-Royal,2348,1410,,,1712.25,1308,,6778.25
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,26835.98,18770.62,15651.85,22910.22,24952.6,21949.43,16481.6,147552.3
