Théâtres,1866-10-28,1866-10-29,1866-10-30,1866-10-31,1866-11-01,1866-11-02,1866-11-03, 28 - 31 oct.,1 - 3 nov
Opéra,4990.63,6712.77,,7751.64,,5727.3,,19455.04,5727.3
Théâtre Français,3551,1270.5,2087,1606.5,4039.5,1157.5,,8515,5197
Opéra-Comique,5705.5,1345,2223.5,2665.5,5645.5,1419.5,2578.5,11939.5,9643.5
Théâtre des Italiens,,,3963,,8425,,4724,3963,13149
Odéon,2159,1901.25,1916.75,2098.75,4184,367.25,3712.5,8075.75,8263.75
Théâtre-Lyrique,4191.1,2001.6,3005.6,3011.6,5427.6,790.6,,12209.9,6218.2
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,3297.5,4635.25,4545.25,4600.5,4955.5,4400,4843.5,17078.5,14199
Palais-Royal,,,,,4212.75,3617.5,,,7830.25
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,23894.73,17866.37,17741.1,21734.49,36889.85,17479.65,15858.5,81236.69,70228
