Théâtres,1866-11-25,1866-11-26,1866-11-27,1866-11-28,1866-11-29,1866-11-30,1866-12-01, 25 - 30 nov., 1 déc.
Opéra,4874.63,5587.28,,9230.31,,,,19692.22,
Théâtre Français,5059.5,2741.5,2670.5,2716,2194.5,2711.5,2594,18093.5,2594
Opéra-Comique,6006,1975.5,5618.5,2903,5362.5,2122,6035,23987.5,6035
Théâtre des Italiens,,,11016,,,,9781,11016,9781
Odéon,4019.25,,2847.25,2885,3060.25,3347.5,,16159.25,
Théâtre-Lyrique,4255.6,3554.6,3736.6,,2443.1,,1665.1,13989.9,1665.1
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,,4612.75,4670.5,4582.75,4186,4581.5,4762.75,22633.5,4762.75
Palais-Royal,4288.25,4293.75,4216.25,4203.25,4280.25,4221.75,4204.25,25503.5,4204.25
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,28503.23,22765.38,34775.6,26520.31,21526.6,16984.25,29042.1,151075.37,29042.1
