Théâtres,1866-12-09,1866-12-10,1866-12-11,1866-12-12,1866-12-13,1866-12-14,1866-12-15, 9 - 15 déc.
Opéra,6488.21,7150.42,,6947.25,,6488.8,,27074.68
Théâtre Français,5133.5,1640.5,2512.5,1878,2414,3029.5,3373.5,19981.5
Opéra-Comique,5441.5,3229,4684,2874.5,4866.75,2761.5,4837.75,28695
Théâtre des Italiens,,,5244,,4114,,9664,19022
Odéon,2775.5,2009.25,2195.75,1755,1794.75,580.75,1829.75,12940.75
Théâtre-Lyrique,4167.1,1721.1,4421.5,1297.6,,2041.6,7038.5,20687.4
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,4385,4001.75,,4171.5,3636.25,3874,4100.75,24169.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,28390.81,19752.02,19057.75,18923.85,16825.75,18776.15,30844.25,152570.58
