Théâtres,1866-12-16,1866-12-17,1866-12-18,1866-12-19,1866-12-20,1866-12-21,1866-12-22, 16 - 22 déc..
Opéra,,6278.88,,6204.21,,5844.88,,18327.97
Théâtre Français,4426,3149,2070,3094.5,2401,2255.5,3170,20566
Opéra-Comique,6050,2323,4187.75,2474.5,3891.5,2688,4219,25833.75
Théâtre des Italiens,766,,8681,,7983,,7165,24595
Odéon,2732.75,1517.75,1620.75,1726.75,1559.75,326.75,1293.25,10777.75
Théâtre-Lyrique,3154.6,6183.5,5612,1937.6,6035.5,1095.6,6185.5,30204.3
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,4235,3824.25,,3763,3765.75,3503.75,3335.5,22427.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,21364.35,23276.38,22171.5,19200.56,25636.5,15714.48,25368.25,152732.02
