Théâtres,1866-12-30,1866-12-31,,,,,,30 - 31 dic.
Opéra,5244.95,7542.54,,,,,,12787.49
Théâtre Français,4123,4877,,,,,,9000
Opéra-Comique,6539,3189,,,,,,9728
Théâtre des Italiens,752,,,,,,,752
Odéon,2100.5,1146.4,,,,,,3246.9
Théâtre-Lyrique,1937.1,2015.1,,,,,,3952.2
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,1955.5,2743.75,,,,,,4699.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,22652.05,21513.79,,,,,,44165.84
