Théâtres,1866-02-04,1866-02-05,1866-02-06,1866-02-07,1866-02-08,1866-02-09,1866-02-10,4 - 10  fév.
Opéra,6820,5950.83,,7064.02,,7327,,27161.85
Théâtre Français,3845,5980,5850,5908,2294,6321,6289,36487
Opéra-Comique,6517,3111.75,5413.25,3943,5559.5,5414.5,6748,36707
Théâtre des Italiens,,13034,5823,,12686,,7389,38932
Odéon,3348,1654.75,1660,1543.5,1247.25,445.5,1519.75,11418.75
Théâtre-Lyrique,2633.6,4618.1,5346.1,5021.6,5383.6,5349.6,5780.1,34132.7
Vaudeville,,,,,,,,
Théâtre des Variétés,,1662,2495.5,2899,4054.5,4002,4164.5,19277.5
Gymnase,4372,4031,3803,3651.5,3625.5,4038.25,4270.5,27791.75
Palais-Royal,4018.75,3048,3245.75,3273.25,3275.95,3115.75,3402,23379.45
Porte Saint-Martin,4038,2961.25,3488,2841.75,3280.75,3282.5,4028.5,23920.75
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,35592.35,46051.68,37124.6,36145.62,41407.05,39296.1,43591.35,279208.75
